"NOT LOGGED IN","NOT LOGGED IN"
"enable reports","enable reports"
"To see the relevant data here, please %1 logging.","To see the relevant data here, please %1 logging."
"Are you sure you want to delete this notification?","Are you sure you want to delete this notification?"
Delete,Delete
"Save and Continue Edit","Save and Continue Edit"
Save,Save
Attributes,Attributes
Other,Other
"Attribute Set","Attribute Set"
Quantity,Quantity
Total,Total
"Invalid SKU.","Invalid SKU."
"Product SKU","Product SKU"
"Show Report","Show Report"
"Collection is not specified for chart block","Collection is not specified for chart block"
Qty,Qty
Day,Day
Week,Week
Month,Month
Year,Year
Line,Line
Columns,Columns
Multi-linear,Multi-linear
Multi-column,Multi-column
Pie,Pie
Horizontal-columns,Horizontal-columns
"Items Ordered","Items Ordered"
Overview,Overview
"By Status","By Status"
"Range #%1   ","Range #%1   "
From,From
To,To
Compare,Compare
Display,Display
"New Rule","New Rule"
Conditions,Conditions
"Rule won't work if no conditions are applied","Rule won't work if no conditions are applied"
"Are you sure you want to delete this?","Are you sure you want to delete this?"
"Reindex Now","Reindex Now"
Installed,Installed
"Not Installed","Not Installed"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"We can't change item right now. Please review the log and try again.","We can't change item right now. Please review the log and try again."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"No records have been changed.","No records have been changed."
"The Notification has been deleted.","The Notification has been deleted."
"Can't delete item right now. Please review the log and try again.","Can't delete item right now. Please review the log and try again."
"This Notification no longer exists.","This Notification no longer exists."
"Edit Notification","Edit Notification"
"New Notification","New Notification"
"Report Notifications","Report Notifications"
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No records have been deleted.","No records have been deleted."
"The Notification was successfully saved.","The Notification was successfully saved."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"Please enter a valid date.","Please enter a valid date."
"Advanced Reports","Advanced Reports"
Catalog,Catalog
"Abandoned Carts","Abandoned Carts"
"Conversion Rate","Conversion Rate"
Customers,Customers
Sales,Sales
"The rule has been deleted.","The rule has been deleted."
