"Preview products","Preview products"
Conditions,Conditions
"Only the products matching the conditions will be present in the category after Apply. Other unmatched products and manual sorting will be removed from the category.","Only the products matching the conditions will be present in the category after Apply. Other unmatched products and manual sorting will be removed from the category."
"Import conditions from","Import conditions from"
Import,Import
"Sort Order","Sort Order"
Sort,Sort
"Search by SKU or name","Search by SKU or name"
Search,Search
"Add or Remove Products","Add or Remove Products"
"Page Products","Page Products"
ID,ID
Name,Name
SKU,SKU
Price,Price
Visibility,Visibility
Status,Status
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Category ID not set.","Category ID not set."
"Default Sorting","Default Sorting"
"Improved Sorting","Improved Sorting"
"Improved Sorting (not installed)","Improved Sorting (not installed)"
"%1 doesn't implement SortInterface","%1 doesn't implement SortInterface"
"Requested sort method does not have proper method instance","Requested sort method does not have proper method instance"
"Name: Ascending","Name: Ascending"
"Name: Descending","Name: Descending"
"Newest products first","Newest products first"
"Move out of stock to bottom","Move out of stock to bottom"
"Price: Ascending","Price: Ascending"
"Price: Descending","Price: Descending"
None,None
"Please choose a condition to add.","Please choose a condition to add."
"Conditions Combination","Conditions Combination"
"Custom Fields","Custom Fields"
"Is New (by a period)","Is New (by a period)"
"Is New (by 'is_new' attribute)","Is New (by 'is_new' attribute)"
"Created (in days)","Created (in days)"
"Is on Sale","Is on Sale"
Qty,Qty
"Min Price","Min Price"
"Max Price","Max Price"
"Final Price","Final Price"
Rating,Rating
"Product Attribute","Product Attribute"
"Is New by 'is_new' attribute","Is New by 'is_new' attribute"
"Is New","Is New"
Yes,Yes
No,No
"Attribute Set","Attribute Set"
"Rating by 'rating_summary' attribute","Rating by 'rating_summary' attribute"
"-- Please Select --","-- Please Select --"
"Automatic Category","Automatic Category"
"Get products by dynamic rules","Get products by dynamic rules"
"This option allows collecting and displaying in the chosen category only those products that match the specified conditions. First, configure and apply the conditions, then open the ""Products Merchandising"" tab to arrange the products.","This option allows collecting and displaying in the chosen category only those products that match the specified conditions. First, configure and apply the conditions, then open the ""Products Merchandising"" tab to arrange the products."
"Category #%1 is dynamic. Please go to Category Edit Page for making any changes.","Category #%1 is dynamic. Please go to Category Edit Page for making any changes."
"Page Status","Page Status"
Enabled,Enabled
Disabled,Disabled
"Automatic Categories will not participate in condition applying.","Automatic Categories will not participate in condition applying."
"For Anchor categories only physically assigned products will be considered.","For Anchor categories only physically assigned products will be considered."
"Unable to perform the action","Unable to perform the action"
"Sorry, Automatic Category without conditions can’t be saved. Please specify at least one condition in Product Conditions tab.","Sorry, Automatic Category without conditions can’t be saved. Please specify at least one condition in Product Conditions tab."
"Save current category?","Save current category?"
Attention,Attention
"Product Merchandising","Product Merchandising"
Information,Information
"Amasty: Visual Merchandiser - Product","Amasty: Visual Merchandiser - Product"
"Indexed product/category association","Indexed product/category association"
"Amasty: Visual Merchandiser - Category","Amasty: Visual Merchandiser - Category"
"Indexed category/product association","Indexed category/product association"
"Amasty: Visual Merchandiser - Product (MSI)","Amasty: Visual Merchandiser - Product (MSI)"
"Indexed product/category association (MSI)","Indexed product/category association (MSI)"
"Product Conditions","Product Conditions"
"Select Conditions","Select Conditions"
"Import Conditions","Import Conditions"
"Products Merchandising","Products Merchandising"
