"General Information","General Information"
"Title","Title"
"Status","Status"
"Upload Type","Upload Type"
"Upload File","Upload File"
"URL","URL"
"Store Views","Store Views"
"Customer Groups","Customer Groups"
"Position","Position"
"Fill “0” or don’t fill anything in this field to not limit the number of downloads.","Fill “0” or don’t fill anything in this field to not limit the number of downloads."
"General","General"
"Product ID","Product ID"
"Name","Name"
"SKU","SKU"
"Attribute Set","Attribute Set"
"Price","Price"
"Attachment Information","Attachment Information"
"Save Attachment","Save Attachment"
"Save and Continue Edit",Save and Continue Edit
"Delete","Delete"
"Edit Attachment","Edit Attachment"
"New Attachment","New Attachment"
"The Attachment has been deleted.","The Attachment has been deleted."
"Attachment to delete was not found.","Attachment to delete was not found."
"This Attachment no longer exists.","This Attachment no longer exists."
"Product Attachments Management","Product Attachments Management"
"The Attachment has been saved.","The Attachment has been saved."
"Not Allowed! Your file size exceeds configured limit.","Not Allowed! Your file size exceeds configured limit."
"Something went wrong while saving the attachment.","Something went wrong while saving the attachment."
"Link download", "Link download"
"Enabled","Enabled"
"Disabled","Disabled"
"Edit","Edit"
"All Store View","All Store View"
"Apply on Products","Apply on Products"
"Create New Attachment","Create New Attachment"
"Delete Attachment","Delete Attachment"
"Are you sure you want to delete selected Attachment(s)?","Are you sure you want to delete selected Attachment(s)?"
"ID","ID"
"File Name or Link Address","File Name or Link Address"
"Size (KB)","Size (KB)"
"Position","Position"
"Download Time","Download Time"
"Limit Number of Downloads","Limit Number of Downloads"
"Product Attachment by Bss Commerce","Product Attachment by Bss Commerce"
"General Configuration","General Configuration"
"Show in Footer","Show in Footer"
