"-- Please Select --","-- Please Select --"
"(%1) class doesn't implement %2","(%1) class doesn't implement %2"
"(%1) No table initialized for resource","(%1) No table initialized for resource"
"(%1) No type initialized for resource","(%1) No type initialized for resource"
"(new copy)","(new copy)"
"[deleted]","[deleted]"
"* Required Fields","* Required Fields"
"%1 does not match","%1 does not match"
"%1 is required","%1 is required"
"%1: The specified date is disabled by rules.","%1: The specified date is disabled by rules."
"%1: The specified date is greater than the max date.","%1: The specified date is greater than the max date."
"%1: The specified date is lower than the min date.","%1: The specified date is lower than the min date."
"%1: The specified weekday is disabled.","%1: The specified weekday is disabled."
"%1: Today is disabled.","%1: Today is disabled."
"<i>9</i> : numeric<br><i>a</i> : alphabetical<br><i>*</i> : alphanumeric<br><i>{min,max}</i> : how many times can a symbol be repeated, <i>min</i> and <i>max</i> are integer numbers<br><i>[***]</i> : optional part of the mask, hidden by default.","<i>9</i> : numeric<br><i>a</i> : alphabetical<br><i>*</i> : alphanumeric<br><i>{min,max}</i> : how many times can a symbol be repeated, <i>min</i> and <i>max</i> are integer numbers<br><i>[***]</i> : optional part of the mask, hidden by default."
"3 stars are selected by default","3 stars are selected by default"
"5 stars are available by default","5 stars are available by default"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been duplicated.","A total of %1 record(s) have been duplicated."
"A total of %1 record(s) have been emailed.","A total of %1 record(s) have been emailed."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Accept URL Parameters","Accept URL Parameters"
"Accept URL parameters to set field values. Use field Code value as parameter name.","Accept URL parameters to set field values. Use field Code value as parameter name."
"Access denied.","Access denied."
"Access Settings","Access Settings"
"Accessibility","Accessibility"
"Action","Action"
"Action to perform with target elements","Action to perform with target elements"
"Actions","Actions"
"Add Category","Add Category"
"Add custom CSS classes to the fieldset container","Add custom CSS classes to the fieldset container"
"Add custom CSS style to the form.","Add custom CSS style to the form."
"Add custom CSS to the form.","Add custom CSS to the form."
"Add custom stylization to the input element","Add custom stylization to the input element"
"Add Field","Add Field"
"Add Fieldset","Add Fieldset"
"Add file or drop here","Add file or drop here"
"Add files or drop here","Add files or drop here"
"Add Form","Add Form"
"Add form to dashboard for selected customer groups only.","Add form to dashboard for selected customer groups only."
"Add Form to the Customer Dashboard","Add Form to the Customer Dashboard"
"Add Header to the Message","Add Header to the Message"
"Add header with Store Group, IP and other information to the message.","Add header with Store Group, IP and other information to the message."
"Add link to the form and submission results to customer dashboard menu.","Add link to the form and submission results to customer dashboard menu."
"Add logic","Add logic"
"Add Quick Response","Add Quick Response"
"Add Result","Add Result"
"Additional CSS Style for the Input Element","Additional CSS Style for the Input Element"
"Adds file links to admin notification emails. Useful when you can not attach large files to email but need to be able to download them directly from the email program. Its recommended to turn it off for sensitive data.","Adds file links to admin notification emails. Useful when you can not attach large files to email but need to be able to download them directly from the email program. Its recommended to turn it off for sensitive data."
"Admin Notification","Admin Notification"
"Admin Notification Template","Admin Notification Template"
"Admin Toolbar","Admin Toolbar"
"After Submission Script","After Submission Script"
"Ajax Submission","Ajax Submission"
"All","All"
"All associated data will be lost. Are you sure?","All associated data will be lost. Are you sure?"
"All Store Views","All Store Views"
"Allow form access for selected customer groups only.","Allow form access for selected customer groups only."
"Allow Frontend File Downloads","Allow Frontend File Downloads"
"Allowed Customer Groups","Allowed Customer Groups"
"Allowed File Extensions","Allowed File Extensions"
"Allowed File Size","Allowed File Size"
"Always on","Always on"
"Approve","Approve"
"Approved","Approved"
"Are you sure to delete selected results?","Are you sure to delete selected results?"
"Are you sure to update status for selected results?","Are you sure to update status for selected results?"
"Are you sure you want to delete this quick response category?","Are you sure you want to delete this quick response category?"
"Are you sure you want to delete this quick response?","Are you sure you want to delete this quick response?"
"Are you sure?","Are you sure?"
"Assign Category","Assign Category"
"Assign Customer ID Automatically","Assign Customer ID Automatically"
"Assign Customer ID automatically if e-mail address matches customer account in the database","Assign Customer ID automatically if e-mail address matches customer account in the database"
"Asynchronous Form Loading","Asynchronous Form Loading"
"Attach customer uploaded files to admin notification","Attach customer uploaded files to admin notification"
"Attach customer uploaded files to customer notification","Attach customer uploaded files to customer notification"
"Auto","Auto"
"Auto (hidden for logged in customers)","Auto (hidden for logged in customers)"
"Auto-complete Choices","Auto-complete Choices"
"Automatically delete reply messages history files","Automatically delete reply messages history files"
"Automatically delete submissions. Requires Magento cron to be configured! Warning! Please be careful with this setting. The deleted data is not recoverable!","Automatically delete submissions. Requires Magento cron to be configured! Warning! Please be careful with this setting. The deleted data is not recoverable!"
"Available Hours","Available Hours"
"Available Minutes","Available Minutes"
"Back","Back"
"Bcc","Bcc"
"Bcc Email Address","Bcc Email Address"
"Billing Address","Billing Address"
"Block Email Addresses","Block Email Addresses"
"Block specified email addresses from submission. You can use Regular Expressions to block address ranges","Block specified email addresses from submission. You can use Regular Expressions to block address ranges"
"Browse Files...","Browse Files..."
"Browse Results","Browse Results"
"Browse to find or drag image here","Browse to find or drag image here"
"Browser","Browser"
"Browser Autocomplete","Browser Autocomplete"
"Button Color","Button Color"
"Button Text","Button Text"
"Button Text Color","Button Text Color"
"Button Width (px)","Button Width (px)"
"Captcha","Captcha"
"Captcha Mode","Captcha Mode"
"Categories","Categories"
"Category","Category"
"Cc / Bcc","Cc / Bcc"
"Cc:","Cc:"
"Center","Center"
"Change","Change"
"Change category","Change category"
"Change fieldset","Change fieldset"
"Change status","Change status"
"Change value","Change value"
"City","City"
"Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
"Cleanup Period(days)","Cleanup Period(days)"
"Close","Close"
"Code","Code"
"Code is used to help identify this field in scripts","Code is used to help identify this field in scripts"
