"(Parent)","(Rodič)"
"Add Rule","Přidat pravidlo"
"Save and Continue Edit","Uložit a pokračovat v úpravě"
"Add A/B Testing","Přidejte testování A / B"
"Parent","Rodič"
"Edit Rule '%1'","Upravit pravidlo '%1'"
"New Rule","Nové pravidlo"
"Rule Information","Informace o pravidlech"
"Actions","Akce"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Použijte pravidlo pouze pro zablokování následujících podmínek (ponechte prázdné pro všechny položky)."
"Apply To","Platit pro"
"Block Configuration","Konfigurace bloku"
"Block name","Název bloku"
"Enter the block's name. It's only visible in the frontend.","Zadejte název bloku. Je vidět pouze na frontend."
"Product layout","Rozložení produktu"
"Grid","Mřížka"
"Slider","Posuvník"
"Select how products are displayed.","Zvolte způsob zobrazování produktů."
"Limit number of products","Omezit počet produktů"
"Display ""Out-of-stock"" products","Zobrazte produkty ""Out-of-stock"""
"Yes","Ano"
"No","Ne"
"Product order","Objednávka produktů"
"Display additional information","Zobrazit další informace"
"Select information or button(s) to display with products.","Vyberte informace nebo tlačítka pro zobrazení s produkty."
"Conditions","Podmínky"
"Conditions (don't add conditions if rule is applied to all products)","Podmínky (nepřidávejte podmínky, pokud platí pravidlo pro všechny produkty)"
"Rule Name","Název pravidla"
"Enter the rule's name here, it's only visible in the backend.","Zde zadejte název pravidla, je viditelný pouze v backendu."
"Location","Umístění"
"Select the position to display block.","Zvolte pozici pro zobrazení bloku."
"Status","Postavení"
"Active","Aktivní"
"Inactive","Neaktivní"
"Select Active to enable the rule.","Chcete-li povolit pravidlo, vyberte možnost Aktivní."
"Store Views","Uchovávejte pohledy"
"Customer Groups","Skupiny zákazníků"
"Select customer group(s) to display the block to","Vyberte skupinu zákazníků pro zobrazení bloku"
"From","Z"
"Select the starting date when the rule is enabled.","Zvolte datum zahájení, kdy je pravidlo povoleno."
"To","Na"
"Select the ending date when the rule is disabled.","Zvolte datum ukončení, kdy je pravidlo zakázáno."
"Priority","Přednost"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Zadejte číslo, pomocí kterého můžete nastavit přednost pravidla. Nižší číslo představuje vyšší prioritu."
"ID","ID"
"Name","název"
"Name in %1","Název v %1"
"Type","Typ"
"Attribute Set","Sada atributů"
"SKU","SKU"
"Price","Cena"
"Quantity","Množství"
"Visibility","Viditelnost"
"Variant","Varianta"
"Impression","Dojem"
"Click","Klikněte na tlačítko"
"CTR","CTR"
"Enabled","Povoleno"
"Disabled","Zakázáno"
"There are no items.","Neexistují žádné položky."
"A/B Testing","Testování A / B"
"Related Block Rule","Pravidlo příslušného bloku"
"Promotions","Propagace"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Našli jsme aktualizovaná pravidla, která se nepoužívají. Klepnutím na tlačítko ""Použít pravidla"" aktualizujte svůj katalog."
"An error occurred","Vyskytla se chyba"
"AutoRelated","Automatické propojení"
"Manage Rules","Správa pravidel"
"You deleted the rule.","Pravidlo jste odstranili."
"We can't delete this rule right now. Please review the log and try again.","Toto pravidlo nemůžeme smazat právě teď. Zkontrolujte protokol a zkuste to znovu."
"We can't find a rule to delete.","Nemůžeme najít pravidlo, které by mělo být odstraněno."
"Something went wrong.","Něco se pokazilo."
"This rule no longer exists.","Toto pravidlo už neexistuje."
"Can not Add A/B Testing.","Nelze přidat test A / B."
"Edit Rule","Upravit pravidlo"
"New Related Block Rule","Nové pravidlo blokování"
"Related Block Rules","Související blokové pravidla"
"The wrong rule is specified.","Je zadáno nesprávné pravidlo."
"You saved the rule.","Uložili jste pravidlo."
"Something went wrong while saving the rule data. Please review the error log.","Při ukládání dat pravidel došlo k chybě. Prohlédněte si protokol chyb."
"Add to cart button","Přidat do košíku"
"Add to Wishlist","Přidat do seznamu přání"
"Add to Compare","přidat ke srovnání"
"Review information","Zkontrolujte informace"
"Bestsellers","Nejlepší prodejci"
"Lowest Price","Nejnižší cena"
"Highest Price","Nejvyšší cena"
"Newest","Nejnovější"
"Random","Náhodný"
"Subtotal","Mezisoučet"
"Total Items Quantity","Množství položek celkem"
"Total Weight","Celková váha"
"Quantity in cart","Množství v košíku"
"Price in cart","Cena v košíku"
"Row total in cart","Celkový počet řádků v košíku"
"Conditions Combination","Kombinace podmínek"
"Cart Item Attribute","Atribut položky košíku"
"Product Attribute","Atribut produktu"
"FOUND","NALEZENO"
"NOT FOUND","NENALEZENO"
"If an item is %1 in the cart with %2 of these conditions true:","Je-li položka %1 v košíku s podmínkou %2 těchto podmínek pravdivá:"
"total quantity","celkové množství"
"total amount","Celková částka"
"is","je"
"is not","není"
"equals or greater than","rovná nebo větší než"
"equals or less than","rovná nebo menší než"
"greater than","větší než"
"less than","méně než"
"is one of","je jedním z"
"is not one of","není jedním z nich"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Pokud je %1 %2 %3 pro dílčí výběr položek v košíku odpovídajících %4 těchto podmínek:"
"Product attribute combination","Kombinace atributu produktu"
"Products subselection","Podzáložka produktů"
"Conditions combination","Kombinace podmínek"
"Cart Attribute","Atribut košíku"
"Replace native related product block","Nahradit nativní související produktový blok"
"Before native related products","Před původními příbuznými produkty"
"After native related products","Po přirozených souvisejících produktech"
"Replace upsell product block","Nahradit upsell produktový blok"
"Before upsell products","Před produkty upsell"
"After upsell products","Po upsell produktech"
"Above Content","Nad obsahem"
"Below Content","Pod obsahem"
"Custom","Zvyk"
"Product Page","Produktová stránka"
"Category Page","Kategorie stránky"
"Shopping Cart Page","Nákupní košík"
"Category","Kategorie"
"PREVIEW PRODUCTS","PŘEHLED PRODUKTŮ"
"Statistic","Statistický"
"Total","Celkový"
"Child","Dítě"
"Add to Cart","Přidat do košíku"
"In stock","Na skladě"
"Out of stock","Vyprodáno"
"HIDE PRODUCTS","HIDE PRODUCTS"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","Automatické související produkty"
"General Configuration","Obecná konfigurace"
"Enable Automatic Related Products","Povolit automatické související produkty"
"Select Yes to enable this module.","Chcete-li povolit tento modul, vyberte Ano."
"Start","Start"
"End","Konec"
