"(Parent)","(Parent)"
"Add Rule","Tilføj regel"
"Save and Continue Edit","Gem og Fortsæt Rediger"
"Add A/B Testing","Tilføj A / B-test"
"Parent","Forældre"
"Edit Rule '%1'","Rediger regel '%1'"
"New Rule","Ny regel"
"Rule Information","Regelinformation"
"Actions","Handlinger"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Anvend kun reglen til at blokere, der matcher følgende betingelser (lad være tom for alle elementer)."
"Apply To","Ansøg til"
"Block Configuration","Blokkonfiguration"
"Block name","Bloker navn"
"Enter the block's name. It's only visible in the frontend.","Indtast kvarterets navn. Det er kun synligt i frontenden."
"Product layout","Produkt layout"
"Grid","Grid"
"Slider","Slider"
"Select how products are displayed.","Vælg, hvordan produkterne vises."
"Limit number of products","Begræns antal produkter"
"Display ""Out-of-stock"" products","Vis ""Out-of-stock"" produkter"
"Yes","Ja"
"No","Ingen"
"Product order","Produktordre"
"Display additional information","Vis yderligere oplysninger"
"Select information or button(s) to display with products.","Vælg oplysninger eller knapper, der skal vises med produkter."
"Conditions","Betingelser"
"Conditions (don't add conditions if rule is applied to all products)","Betingelser (Tilføj ikke betingelser, hvis regel gælder for alle produkter)"
"Rule Name","Regelnavn"
"Enter the rule's name here, it's only visible in the backend.","Indtast regelens navn her, det er kun synligt i backend."
"Location","Beliggenhed"
"Select the position to display block.","Vælg position for at vise blok."
"Status","status"
"Active","Aktiv"
"Inactive","inaktive"
"Select Active to enable the rule.","Vælg Aktiv for at aktivere reglen."
"Store Views","Gem visninger"
"Customer Groups","Kundegrupper"
"Select customer group(s) to display the block to","Vælg kundegruppe (r) for at vise blokken til"
"From","Fra"
"Select the starting date when the rule is enabled.","Vælg startdato, når reglen er aktiveret."
"To","Til"
"Select the ending date when the rule is disabled.","Vælg slutdato, når reglen er deaktiveret."
"Priority","Prioritet"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Indtast et nummer for at angive prioritet for reglen. Et lavere tal repræsenterer en højere prioritet."
"ID","ID"
"Name","Navn"
"Name in %1","Navn i %1"
"Type","Type"
"Attribute Set","Egenskabssæt"
"SKU","SKU"
"Price","Pris"
"Quantity","Antal"
"Visibility","Sigtbarhed"
"Variant","Variant"
"Impression","Indtryk"
"Click","Klik"
"CTR","CTR"
"Enabled","Aktiveret"
"Disabled","handicappet"
"There are no items.","Der er ingen varer."
"A/B Testing","A / B-test"
"Related Block Rule","Relateret blokregel"
"Promotions","Kampagner"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Vi har fundet opdaterede regler, der ikke anvendes. Klik venligst på ""Anvend regler"" for at opdatere dit katalog."
"An error occurred","En fejl opstod"
"AutoRelated","AutoRelated"
"Manage Rules","Administrer regler"
"You deleted the rule.","Du har slettet reglen."
"We can't delete this rule right now. Please review the log and try again.","Vi kan ikke slette denne regel lige nu. Gennemgå loggen og prøv igen."
"We can't find a rule to delete.","Vi kan ikke finde en regel, der skal slettes."
"Something went wrong.","Noget gik galt."
"This rule no longer exists.","Denne regel findes ikke længere."
"Can not Add A/B Testing.","Kan ikke tilføje A / B-test."
"Edit Rule","Rediger regel"
"New Related Block Rule","Ny relateret blokregel"
"Related Block Rules","Relaterede blokregler"
"The wrong rule is specified.","Den forkerte regel er angivet."
"You saved the rule.","Du har gemt reglen."
"Something went wrong while saving the rule data. Please review the error log.","Noget gik galt, mens du lagrede regeldataene. Gennemgå fejlloggen."
"Add to cart button","Tilføj til indkøbskurv knappen"
"Add to Wishlist","Tilføj til ønskeliste"
"Add to Compare","Tilføj til sammenligning"
"Review information","Gennemgå oplysninger"
"Bestsellers","Bestsellere"
"Lowest Price","Laveste pris"
"Highest Price","Højeste pris"
"Newest","Nyeste"
"Random","Tilfældig"
"Subtotal","Subtotal"
"Total Items Quantity","Antal varer Antal"
"Total Weight","Totalvægt"
"Quantity in cart","Mængde i kurv"
"Price in cart","Pris i kurv"
"Row total in cart","Række i kurven"
"Conditions Combination","Betingelser Kombination"
"Cart Item Attribute","Indkøbskurv Element Egenskab"
"Product Attribute","Produktegenskab"
"FOUND","FUNDET"
"NOT FOUND","IKKE FUNDET"
"If an item is %1 in the cart with %2 of these conditions true:","Hvis en vare er %1 i vognen med %2 af disse forhold er det sandt:"
"total quantity","samlet mængde"
"total amount","total beløb"
"is","er"
"is not","er ikke"
"equals or greater than","lig med eller større end"
"equals or less than","lig med eller mindre end"
"greater than","bedre end"
"less than","Mindre end"
"is one of","er en af"
"is not one of","er ikke en af"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Hvis %1 %2 %3 for en undervalg af varer i kurv, der matcher %4 af disse forhold:"
"Product attribute combination","Produktattributkombination"
"Products subselection","Produkter underselektion"
"Conditions combination","Betingelser kombination"
"Cart Attribute","Indkøbsegenskab"
"Replace native related product block","Udskift indbygget relateret produktblok"
"Before native related products","Før native relaterede produkter"
"After native related products","Efter native relaterede produkter"
"Replace upsell product block","Udskift upsell produktblok"
"Before upsell products","Før upsell produkter"
"After upsell products","Efter upsell produkter"
"Above Content","Ovenstående indhold"
"Below Content","Nedenfor indhold"
"Custom","Brugerdefinerede"
"Product Page","Produktside"
"Category Page","Kategori Side"
"Shopping Cart Page","Indkøbskurvside"
"Category","Kategori"
"PREVIEW PRODUCTS","PREVIEW PRODUCTS"
"Statistic","statistik"
"Total","Total"
"Child","Barn"
"Add to Cart","Tilføj til kurv"
"In stock","På lager"
"Out of stock","Udsolgt"
"HIDE PRODUCTS","HIDE PRODUKTER"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","Automatiske relaterede produkter"
"General Configuration","Generel konfiguration"
"Enable Automatic Related Products","Aktivér automatisk relaterede produkter"
"Select Yes to enable this module.","Vælg Ja for at aktivere dette modul."
"Start","Start"
"End","Ende"
