"(Parent)","(Parent)"
"Add Rule","Lisää sääntö"
"Save and Continue Edit","Tallenna ja jatka Muokkaa"
"Add A/B Testing","Lisää A / B-testaus"
"Parent","vanhempi"
"Edit Rule '%1'","Muokkaa sääntöä ""%1"""
"New Rule","Uusi sääntö"
"Rule Information","Säännön tiedot"
"Actions","Toimet"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Käytä sääntöä vain estämään seuraavien ehtojen vastaaminen (jätä tyhjäksi kaikille kohteille)."
"Apply To","Hakea"
"Block Configuration","Lohkon kokoonpano"
"Block name","Lohkon nimi"
"Enter the block's name. It's only visible in the frontend.","Anna lohkon nimi. Se näkyy vain etupaneelissa."
"Product layout","Tuotteen asettelu"
"Grid","ruudukko"
"Slider","Slider"
"Select how products are displayed.","Valitse, kuinka tuotteet näytetään."
"Limit number of products","Rajoita tuotteiden määrää"
"Display ""Out-of-stock"" products","Näytä ""varastossa olevat"" tuotteet"
"Yes","Joo"
"No","Ei"
"Product order","Tuotteen tilaus"
"Display additional information","Näytä lisätietoja"
"Select information or button(s) to display with products.","Valitse tiedot tai painikkeita, joita haluat näyttää tuotteilla."
"Conditions","olosuhteet"
"Conditions (don't add conditions if rule is applied to all products)","Ehdot (älä lisää ehtoja, jos sääntöä sovelletaan kaikkiin tuotteisiin)"
"Rule Name","Säännön nimi"
"Enter the rule's name here, it's only visible in the backend.","Anna säännön nimi täällä, se näkyy vain taustaosassa."
"Location","Sijainti"
"Select the position to display block.","Valitse kohta, joka näyttää lohkon."
"Status","Status"
"Active","aktiivinen"
"Inactive","Epäaktiivinen"
"Select Active to enable the rule.","Ota käyttöön säännöt käyttöön valitsemalla Active."
"Store Views","Myymälänäkymät"
"Customer Groups","Asiakasryhmät"
"Select customer group(s) to display the block to","Valitse asiakasryhmä (t), jotta lohko näytetään"
"From","alkaen"
"Select the starting date when the rule is enabled.","Valitse alkamispäivä, kun sääntö on käytössä."
"To","jotta"
"Select the ending date when the rule is disabled.","Valitse päättymispäivä, kun sääntö on poistettu käytöstä."
"Priority","prioriteetti"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Syötä numero, jos haluat asettaa säännön ensisijaisuuden. Pienempi määrä edustaa korkeampaa prioriteettiä."
"ID","ID"
"Name","Nimi"
"Name in %1","Nimi %1"
"Type","Tyyppi"
"Attribute Set","Attribute Set"
"SKU","SKU"
"Price","Hinta"
"Quantity","Määrä"
"Visibility","näkyvyys"
"Variant","variantti"
"Impression","vaikutus"
"Click","Klikkaus"
"CTR","CTR"
"Enabled","käytössä"
"Disabled","Liikuntarajoitteinen"
"There are no items.","Ei ole kohteita."
"A/B Testing","A / B-testaus"
"Related Block Rule","Aiheeseen liittyvä lohkosääntö"
"Promotions","tarjouksia"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Löysimme päivitetyt säännöt, joita ei sovelleta. Päivitä katalogisi klikkaamalla ""Käytä sääntöjä""."
"An error occurred","Tapahtui virhe"
"AutoRelated","AutoRelated"
"Manage Rules","Hallitse sääntöjä"
"You deleted the rule.","Olet poistanut säännön."
