"(Parent)","(Родитель)"
"Add Rule","Добавить правило"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Add A/B Testing","Добавить тест A / B"
"Parent","родитель"
"Edit Rule '%1'","Изменить правило '%1'"
"New Rule","Новое правило"
"Rule Information","Информация о правилах"
"Actions","действия"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Примените правило только для того, чтобы блокировать соответствие следующим условиям (оставьте пустым для всех элементов)."
"Apply To","Применить к"
"Block Configuration","Конфигурация блока"
"Block name","Название блока"
"Enter the block's name. It's only visible in the frontend.","Введите имя блока. Это видно только в интерфейсе."
"Product layout","Макет продукта"
"Grid","сетка"
"Slider","ползунок"
"Select how products are displayed.","Выберите способ отображения продуктов."
"Limit number of products","Ограничить количество продуктов"
"Display ""Out-of-stock"" products","Дисплей «Внебиржевые» продукты"
"Yes","да"
"No","нет"
"Product order","Заказ продукта"
"Display additional information","Показать дополнительную информацию"
"Select information or button(s) to display with products.","Выберите информацию или кнопки для отображения с продуктами."
"Conditions","условия"
"Conditions (don't add conditions if rule is applied to all products)","Условия (не добавляйте условия, если правило применяется ко всем продуктам)"
"Rule Name","Название правила"
"Enter the rule's name here, it's only visible in the backend.","Введите здесь название правила, оно отображается только в бэкэнд."
"Location","Место нахождения"
"Select the position to display block.","Выберите позицию для отображения блока."
"Status","Положение дел"
"Active","активный"
"Inactive","Неактивный"
"Select Active to enable the rule.","Выберите Актив, чтобы включить правило."
"Store Views","Просмотр магазинов"
"Customer Groups","Группы клиентов"
"Select customer group(s) to display the block to","Выберите группу (ы) клиента, чтобы отобразить блок"
"From","Из"
"Select the starting date when the rule is enabled.","Выберите начальную дату, когда правило включено."
"To","к"
"Select the ending date when the rule is disabled.","Выберите дату окончания, когда правило отключено."
"Priority","приоритет"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Введите число, чтобы установить приоритет для правила. Более низкое число представляет собой более высокий приоритет."
"ID","Я БЫ"
"Name","имя"
"Name in %1","Имя в %1"
"Type","Тип"
"Attribute Set","Набор атрибутов"
"SKU","SKU"
"Price","Цена"
"Quantity","Количество"
"Visibility","видимость"
"Variant","Вариант"
"Impression","Впечатление"
"Click","Нажмите"
"CTR","CTR"
"Enabled","Включено"
"Disabled","Отключено"
"There are no items.","Нет предметов."
"A/B Testing","Тестирование A / B"
"Related Block Rule","Связанное правило блока"
"Promotions","Акции"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Мы обнаружили обновленные правила, которые не применяются. Нажмите «Применить правила», чтобы обновить каталог."
"An error occurred","Произошла ошибка"
"AutoRelated","AutoRelated"
"Manage Rules","Управление правилами"
"You deleted the rule.","Вы удалили правило."
"We can't delete this rule right now. Please review the log and try again.","Мы не можем удалить это правило прямо сейчас. Просмотрите журнал и повторите попытку."
"We can't find a rule to delete.","Мы не можем найти правило для удаления."
"Something went wrong.","Что-то пошло не так."
"This rule no longer exists.","Это правило больше не существует."
"Can not Add A/B Testing.","Не удается добавить проверку A / B."
"Edit Rule","Изменить правило"
"New Related Block Rule","Новое связанное правило блока"
"Related Block Rules","Похожие правила"
"The wrong rule is specified.","Указано неправильное правило."
"You saved the rule.","Вы сохранили правило."
