"(Parent)","(Батько)"
"Add Rule","Додати правило"
"Save and Continue Edit","Зберегти та продовжити редагування"
"Add A/B Testing","Додати тестування A / B"
"Parent","Батько"
"Edit Rule '%1'","Редагувати правило ""%1"""
"New Rule","Нове правило"
"Rule Information","Правило інформації"
"Actions","Дії"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Застосовуйте правило лише для блокування відповідності наступним умовам (залиште порожнім для всіх елементів)."
"Apply To","Застосувати до"
"Block Configuration","Конфігурація блоку"
"Block name","Назва блоку"
"Enter the block's name. It's only visible in the frontend.","Введіть назву блоку. Це видно лише в інтерфейсі."
"Product layout","Макет продукту"
"Grid","Сітки"
"Slider","Слайдер"
"Select how products are displayed.","Виберіть, яким чином відображаються продукти."
"Limit number of products","Обмеження кількості продуктів"
"Display ""Out-of-stock"" products","Дисплей ""Out of Stock"" продукції"
"Yes","Так"
"No","Немає"
"Product order","Замовлення продукту"
"Display additional information","Відображення додаткової інформації"
"Select information or button(s) to display with products.","Виберіть інформацію або кнопки (и) для відображення з продуктами."
"Conditions","Умови"
"Conditions (don't add conditions if rule is applied to all products)","Умови (не додавайте умови, якщо правило застосовується до всіх продуктів)"
"Rule Name","Правило Ім'я"
"Enter the rule's name here, it's only visible in the backend.","Введіть назву правила тут, вона відображається лише у бекенда."
"Location","Місцезнаходження"
"Select the position to display block.","Виберіть позицію для відображення блоку."
"Status","Статус"
"Active","Активний"
"Inactive","Неактивний"
"Select Active to enable the rule.","Виберіть Актив, щоб активувати правило."
"Store Views","Магазин Переглядів"
"Customer Groups","Групи замовників"
"Select customer group(s) to display the block to","Виберіть групу клієнтів, щоб відобразити блок до"
"From","Від"
"Select the starting date when the rule is enabled.","Виберіть дату початку, коли правило активовано."
"To","До"
"Select the ending date when the rule is disabled.","Виберіть кінцеву дату, коли правило вимкнено."
"Priority","Пріоритет"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Введіть номер, щоб встановити пріоритет для правила. Нижнє число представляє вищий пріоритет."
"ID","Ідентифікатор"
"Name","Ім'я"
"Name in %1","Ім'я в %1"
"Type","Тип"
"Attribute Set","Набір атрибутів"
"SKU","Артикул"
"Price","Ціна"
"Quantity","Кількість"
"Visibility","Видимість"
"Variant","Варіант"
"Impression","Враження"
"Click","Натисніть"
"CTR","CTR"
"Enabled","Увімкнено"
"Disabled","Вимкнено"
"There are no items.","Немає предметів."
"A/B Testing","Тестування A / B"
"Related Block Rule","Пов'язане правило блокування"
"Promotions","Акції"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Ми знайшли оновлені правила, які не застосовуються. Будь ласка, натисніть ""Застосувати правила"", щоб оновити свій каталог."
"An error occurred","Виникла помилка"
"AutoRelated","AutoRelated"
"Manage Rules","Управління правилами"
"You deleted the rule.","Ви видалили правило."
"We can't delete this rule right now. Please review the log and try again.","Ми не можемо видалити це правило прямо зараз. Будь ласка, перегляньте журнал та повторіть спробу."
"We can't find a rule to delete.","Неможливо знайти правило видалення."
"Something went wrong.","Щось пішло не так."
"This rule no longer exists.","Це правило більше не існує."
"Can not Add A/B Testing.","Не вдається додати перевірку A / B."
"Edit Rule","Редагувати правило"
"New Related Block Rule","Нове пов'язане правило блокування"
"Related Block Rules","Пов'язані Правила блокування"
"The wrong rule is specified.","Неправильне правило вказано."
"You saved the rule.","Ви зберегли правило."
"Something went wrong while saving the rule data. Please review the error log.","Під час збереження даних правил виникла помилка. Будь ласка, перегляньте журнал помилок."
"Add to cart button","Додати в кошик кнопку"
"Add to Wishlist","Додати до списку бажань"
"Add to Compare","Додати до Порівняльний"
"Review information","Огляд інформації"
"Bestsellers","Найкращі продавці"
"Lowest Price","Найнижча ціна"
"Highest Price","Найвища ціна"
"Newest","Найновіші"
"Random","Випадково"
"Subtotal","Сумарно"
"Total Items Quantity","Загальна кількість штук"
"Total Weight","Загальна вага"
"Quantity in cart","Кількість в кошику"
"Price in cart","Ціна в кошику"
"Row total in cart","Всього рядків в кошику"
"Conditions Combination","Умови комбінації"
"Cart Item Attribute","Атрибут Кошик Пункту"
"Product Attribute","Атрибут продукту"
"FOUND","Знайдено"
"NOT FOUND","НЕ ЗНАЙДЕНО"
"If an item is %1 in the cart with %2 of these conditions true:","Якщо в кошику товар %1 з %2 з цих умов, то правда:"
"total quantity","загальна кількість"
"total amount","Загальна кількість"
"is","є"
"is not","не"
"equals or greater than","дорівнює або більше, ніж"
"equals or less than","дорівнює або менше"
"greater than","більш чим"
"less than","менше, ніж"
"is one of","є однією з"
"is not one of","це не одне з"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Якщо %1 %2 %3 для підрозділу елементів у кошику, що відповідає %4 цих умов:"
"Product attribute combination","Комбінація атрибутів продукту"
"Products subselection","Підрозділ продуктів"
"Conditions combination","Поєднання умов"
"Cart Attribute","Атрибут кошика"
"Replace native related product block","Замініть місцевий пов'язаний блок продукту"
"Before native related products","Перед рідними відповідними товарами"
"After native related products","Після рідної суміжної продукції"
"Replace upsell product block","Замініть продуктовий блок"
"Before upsell products","Перед тим, як піднімати продукти"
"After upsell products","Після поповнення продуктів"
"Above Content","Над вмістом"
"Below Content","Нижче вмісту"
"Custom","Користувальницький"
"Product Page","Сторінка продукту"
"Category Page","Категорія категорії"
"Shopping Cart Page","Сторінка кошика"
"Category","Категорія"
"PREVIEW PRODUCTS","ПЕРЕГЛЯД ПРОДУКТИ"
"Statistic","Статистика"
"Total","Всього"
"Child","Дитина"
"Add to Cart","Додати в кошик"
"In stock","В наявності"
"Out of stock","Немає в наявності"
"HIDE PRODUCTS","СКАСИ ПРОДУКТИ"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","Автоматичні пов'язані продукти"
"General Configuration","Загальна конфігурація"
"Enable Automatic Related Products","Увімкнути автоматичні пов'язані продукти"
"Select Yes to enable this module.","Виберіть Так для ввімкнення цього модуля."
"Start","Почати"
"End","Кінець"
