"(Parent)","(Parent)"
"Add Rule","Add Rule"
"Save and Continue Edit","Save and Continue Edit"
"Add A/B Testing","Add A/B Testing"
"Parent","Parent"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Rule Information","Rule Information"
"Actions","Actions"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Apply the rule only to block matching the following conditions (leave blank for all items)."
"Apply To","Apply To"
"Block Configuration","Block Configuration"
"Block name","Block name"
"Enter the block's name. It's only visible in the frontend.","Enter the block's name. It's only visible in the frontend."
"Product layout","Product layout"
"Grid","Grid"
"Slider","Slider"
"Select how products are displayed.","Select how products are displayed."
"Limit number of products","Limit number of products"
"Display ""Out-of-stock"" products","Display ""Out-of-stock"" products"
"Yes","Yes"
"No","No"
"Product order","Product order"
"Display additional information","Display additional information"
"Select information or button(s) to display with products.","Select information or button(s) to display with products."
"Conditions","Conditions"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"Rule Name","Rule Name"
"Enter the rule's name here, it's only visible in the backend.","Enter the rule's name here, it's only visible in the backend."
"Location","Location"
"Select the position to display block.","Select the position to display block."
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Select Active to enable the rule.","Select Active to enable the rule."
"Store Views","Store Views"
"Customer Groups","Customer Groups"
"Select customer group(s) to display the block to","Select customer group(s) to display the block to"
"From","From"
"Select the starting date when the rule is enabled.","Select the starting date when the rule is enabled."
"To","To"
"Select the ending date when the rule is disabled.","Select the ending date when the rule is disabled."
"Priority","Priority"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Enter a number to set priority for the rule. A lower number represents a higher priority."
"ID","ID"
"Name","Name"
"Name in %1","Name in %1"
"Type","Type"
"Attribute Set","Attribute Set"
"SKU","SKU"
"Price","Price"
"Quantity","Quantity"
"Visibility","Visibility"
"Variant","Variant"
"Impression","Impression"
"Click","Click"
"CTR","CTR"
"Enabled","Enabled"
"Disabled","Disabled"
"There are no items.","There are no items."
"A/B Testing","A/B Testing"
"Related Block Rule","Related Block Rule"
"Promotions","Promotions"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog."
"An error occurred","An error occurred"
"AutoRelated","AutoRelated"
"Manage Rules","Manage Rules"
"You deleted the rule.","You deleted the rule."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","We can't find a rule to delete."
"Something went wrong.","Something went wrong."
"This rule no longer exists.","This rule no longer exists."
"Can not Add A/B Testing.","Can not Add A/B Testing."
"Edit Rule","Edit Rule"
"New Related Block Rule","New Related Block Rule"
"Related Block Rules","Related Block Rules"
"The wrong rule is specified.","The wrong rule is specified."
"You saved the rule.","You saved the rule."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"Add to cart button","Add to cart button"
"Add to Wishlist","Add to Wishlist"
"Add to Compare","Add to Compare"
"Review information","Review information"
"Bestsellers","Bestsellers"
"Lowest Price","Lowest Price"
"Highest Price","Highest Price"
"Newest","Newest"
"Random","Random"
"Subtotal","Subtotal"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Quantity in cart","Quantity in cart"
"Price in cart","Price in cart"
"Row total in cart","Row total in cart"
"Conditions Combination","Conditions Combination"
"Cart Item Attribute","Cart Item Attribute"
"Product Attribute","Product Attribute"
"FOUND","FOUND"
"NOT FOUND","NOT FOUND"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the cart with %2 of these conditions true:"
"total quantity","total quantity"
"total amount","total amount"
"is","is"
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"is one of","is one of"
"is not one of","is not one of"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
"Replace native related product block","Replace native related product block"
"Before native related products","Before native related products"
"After native related products","After native related products"
"Replace upsell product block","Replace upsell product block"
"Before upsell products","Before upsell products"
"After upsell products","After upsell products"
"Above Content","Above Content"
"Below Content","Below Content"
"Custom","Custom"
"Product Page","Product Page"
"Category Page","Category Page"
"Shopping Cart Page","Shopping Cart Page"
"Category","Category"
"PREVIEW PRODUCTS","PREVIEW PRODUCTS"
"Statistic","Statistic"
"Total","Total"
"Child","Child"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"HIDE PRODUCTS","HIDE PRODUCTS"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","Automatic Related Products"
"General Configuration","General Configuration"
"Enable Automatic Related Products","Enable Automatic Related Products"
"Select Yes to enable this module.","Select Yes to enable this module."
"Start","Start"
"End","End"
