"Are you sure you want to do this?","Are you sure you want to do this?"
"Add To Zoho Queue","Add To Zoho Queue"
Account,Account
Lead,Lead
Contact,Contact
"As ","As "
"Add To Zoho Queue As ","Add To Zoho Queue As "
"Synchronize failed.","Synchronize failed."
"Estimate synchronize failed.","Estimate synchronize failed."
"A total of #1 record(s) have been synchronized. Note that in case there have already 5 times failed, it is unable to synchronize more. Please edit the object data, save and check again. ","A total of #1 record(s) have been synchronized. Note that in case there have already 5 times failed, it is unable to synchronize more. Please edit the object data, save and check again. "
Next,Next
"Back To Grid","Back To Grid"
"Save and Continue Edit","Save and Continue Edit"
"Conditions (don't add conditions if rule is applied to all object)","Conditions (don't add conditions if rule is applied to all object)"
Conditions,Conditions
"Please select","Please select"
Name,Name
Status,Status
"Magento Object","Magento Object"
"Zoho Module","Zoho Module"
Website,Website
Priority,Priority
"If several rule meet the condition, the one with the highest priority will be applied. Smaller number means higher priority.","If several rule meet the condition, the one with the highest priority will be applied. Smaller number means higher priority."
"Sync information","Sync information"
ID,ID
Object,Object
Events,Events
"Created On","Created On"
"Updated On","Updated On"
Error,Error
Success,Success
Pending,Pending
"Mapping Fields","Mapping Fields"
"Queue Report","Queue Report"
"Pending Requests","Pending Requests"
"Total Objects","Total Objects"
"Total Requests","Total Requests"
"Zoho Entity","Zoho Entity"
"Zoho CRM","Zoho CRM"
"Zoho Lead Entity","Zoho Lead Entity"
"Zoho Contact Entity","Zoho Contact Entity"
"Synchronization Information","Synchronization Information"
"Get Access Token","Get Access Token"
"A total of %1 record(s) have been added.","A total of %1 record(s) have been added."
"Add to Zoho queue success.","Add to Zoho queue success."
"Synchronization rule cannot be matched.","Synchronization rule cannot be matched."
"Zoho Entity is exist.","Zoho Entity is exist."
"Invalid object.","Invalid object."
"Manage Sync Rules","Manage Sync Rules"
"This item does not exists.","This item does not exists."
"Data not found when trying to synchronize.","Data not found when trying to synchronize."
"Please select type sync.","Please select type sync."
"Manage Queue","Manage Queue"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Sync rule not found","Sync rule not found"
"The sync rule has been deleted successfully.","The sync rule has been deleted successfully."
"An error occurred while deleting the sync rule.","An error occurred while deleting the sync rule."
"Edit Synchronization Rule #%1","Edit Synchronization Rule #%1"
"Create Synchronization Rule","Create Synchronization Rule"
"Manage Synchronization Rules","Manage Synchronization Rules"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Save rule success!","Save rule success!"
"'An error occurred while saving the sync. Please try again later.' .","'An error occurred while saving the sync. Please try again later.' ."
"Please fill Authorized redirect URIs","Please fill Authorized redirect URIs"
"The Access Token has been saved successfully. You can close this window, then clean cache and refresh configuration page.","The Access Token has been saved successfully. You can close this window, then clean cache and refresh configuration page."
"Invalid access token. Please try again!","Invalid access token. Please try again!"
"Grant token not found!","Grant token not found!"
"Cannot refresh access token.","Cannot refresh access token."
"Accept %1 value.","Accept %1 value."
"Select Date","Select Date"
"Insert Variable...","Insert Variable..."
"Product Category","Product Category"
"Product Code","Product Code"
"Product Active","Product Active"
"Product Name","Product Name"
"Sales Start Date","Sales Start Date"
"Sales End Date","Sales End Date"
"Support Start Date","Support Start Date"
"Support End Date","Support End Date"
Manufacturer,Manufacturer
"Unit Price","Unit Price"
Taxable,Taxable
Tax,Tax
"Commission Rate","Commission Rate"
"Usage Unit","Usage Unit"
"Quantity in Stock","Quantity in Stock"
"Qty Ordered","Qty Ordered"
"Reorder Level","Reorder Level"
"Qty In Demand","Qty In Demand"
Description,Description
